x,z
0.2,0.0
0.4,0.0
0.5999999,-0.1666667
1.199994,0.3333333
1.599959,0.0
1.799934,0.0
1.999909,0.0
2.199884,-0.1666667
2.399873,-0.3333333
2.599874,-0.5
2.799849,-0.6666667
2.999714,-0.5
3.19944,-0.6666667
3.398903,-0.5
3.796904,-0.8333333
3.995053,-0.6666667
4.192591,-0.8333333
4.389242,-1.0
4.778878,-0.6666667
5.164412,-0.3333333
5.356175,-0.1666667
5.739103,0.0
6.31468,0.5
6.507865,0.6666667
6.702092,0.5
7.092453,0.1666667
7.288083,0.0
7.679342,0.0
8.265332,-0.5
8.459559,-0.6666667
8.652744,-0.5
8.845093,-0.3333333
9.036857,-0.5
9.227705,-0.6666667
9.417259,-0.5
9.605787,-0.3333333
9.793606,-0.5
9.980322,-0.3333333
10.16628,-0.1666667
10.35184,0.0
10.53741,-0.1666667
10.72258,0.0
10.90776,0.0
11.09293,-0.1666667
11.27771,-0.3333333
11.46167,-0.5
11.64438,-0.6666667
11.82535,-0.5
12.18268,-0.8333333
12.35794,-0.6666667
12.53114,-0.5
12.70276,-0.3333333
12.87329,-0.5
13.04215,-0.3333333
13.20988,-0.1666667
13.37705,0.0
13.54421,0.1666667
13.87968,0.0
14.04741,0.1666667
14.21571,0.0
14.38402,-0.1666667
14.55175,0.0
14.71948,0.0
15.05438,-0.3333333
16.21288,0.0
16.3783,-0.1666667
16.70795,0.1666667
17.03995,0.5
17.55199,1.0
17.72825,0.8333333
17.90693,1.0
18.08834,0.8333333
18.45706,0.5
18.83122,0.8333333
19.40339,0.3333333
19.59573,0.5
19.78892,0.3333333
20.17711,0.6666667
20.37252,0.5
20.76503,0.1666667
21.15833,0.0
21.35498,0.0
21.74809,-0.3333333
21.94415,-0.1666667
22.3354,-0.5
22.72434,-0.1666667
22.91832,-0.3333333
23.49587,-0.8333333
23.68575,-0.6666667
23.87428,-0.5
24.24769,-0.8333333
24.61394,-0.5
24.7949,-0.6666667
25.15177,-0.3333333
25.68104,0.1666667
25.8578,0.3333333
26.21372,0.0
26.39192,0.0
26.57013,-0.1666667
26.74785,0.0
26.92557,0.0
27.10329,-0.1666667
27.45778,0.1666667
27.6355,0.0
27.81322,0.1666667
27.99142,0.0
28.16962,0.1666667
28.3483,0.3333333
28.5279,0.1666667
28.70797,0.0
28.88803,0.0
29.06809,-0.1666667
29.2477,0.0
29.42731,0.0
29.60691,-0.1666667
29.78605,-0.3333333
29.96425,-0.5
30.14101,-0.6666667
30.31576,-0.5
30.48897,-0.6666667
30.82947,-0.3333333
31.32858,-0.8333333
31.48977,-0.6666667
31.64844,-0.5
31.80518,-0.6666667
31.95928,-0.8333333
32.10999,-0.6666667
32.25792,-0.5
32.40371,-0.6666667
32.54661,-0.5
32.68729,-0.6666667
32.82496,-0.8333333
32.95879,-1.0
33.08788,-0.8333333
33.21293,-1.0
33.33301,-0.8333333
33.44887,-0.6666667
33.56128,-0.5
33.67109,-0.3333333
33.77914,-0.1666667
33.8863,-0.3333333
33.9917,-0.1666667
34.0962,0.0
34.2007,0.0
34.30519,-0.1666667
34.4088,-0.3333333
34.51061,-0.1666667
34.71242,0.0
34.81333,-0.1666667
34.91333,-0.3333333
35.01151,-0.5
35.20052,-0.1666667
35.29318,-0.3333333
35.38398,-0.5
35.47197,-0.3333333
35.55807,-0.1666667
35.64322,0.0
35.72838,0.1666667
35.81448,0.0
35.90058,-0.1666667
35.98574,0.0
36.07089,0.1666667
36.15699,0.0
36.2431,0.0
36.3292,0.0
36.4153,-0.1666667
36.58561,0.0
36.67076,0.0
36.75592,-0.1666667
36.84013,0.0
36.92433,0.1666667
37.00949,0.0
37.09464,0.1666667
37.18074,0.3333333
37.26873,0.5
37.35953,0.3333333
37.45219,0.5
37.54762,0.3333333
37.64489,0.1666667
37.74307,0.3333333
37.84307,0.1666667
37.94398,0.3333333
38.04668,0.1666667
38.15029,0.0
38.2539,-0.1666667
38.35661,-0.3333333
38.45751,-0.1666667
38.55751,0.0
38.54617,0.1666667
0.2,0.0
2.2,0.0
3.1996,-0.8333333
3.398983,-0.6666667
3.597994,-0.5
3.995092,-0.1666667
4.193381,0.0
4.39167,0.1666667
4.590093,0.0
4.788516,-0.1666667
4.986804,-0.3333333
5.382664,0.0
5.580518,0.0
5.778373,-0.1666667
5.976071,0.0
6.371308,-0.3333333
6.568507,-0.5
6.765158,-0.3333333
6.961417,-0.1666667
7.157471,0.0
7.353526,-0.1666667
7.54937,0.0
7.745215,0.1666667
8.137727,0.5
8.334748,0.6666667
8.532447,0.5
8.730597,0.3333333
8.92902,0.1666667
9.127571,0.0
9.524546,-0.3333333
9.722695,-0.1666667
9.9207,-0.3333333
10.1184,-0.1666667
10.31594,0.0
10.51347,0.0
10.90855,0.0
11.10609,-0.1666667
11.30346,0.0
11.50083,-0.1666667
11.69803,-0.3333333
11.89487,-0.5
12.09113,-0.6666667
12.28653,-0.5
12.48125,-0.3333333
12.67548,-0.1666667
13.06343,0.1666667
13.25765,0.0
13.64585,-0.3333333
13.83931,-0.5
14.03194,-0.6666667
14.22341,-0.5
14.41394,-0.3333333
14.60382,-0.5
15.16572,-1.0
15.34885,-0.8333333
15.52982,-1.0
15.88378,-0.6666667
16.05751,-0.5
16.40073,-0.1666667
16.74179,0.1666667
16.91286,0.3333333
17.08501,0.5
17.25874,0.3333333
17.43349,0.5
17.60975,0.3333333
17.78699,0.5
17.96567,0.3333333
18.14528,0.1666667
18.5063,0.5
18.68859,0.3333333
18.87172,0.1666667
19.05527,0.3333333
19.23964,0.1666667
19.42442,0.0
19.60919,0.1666667
19.79437,0.3333333
19.98032,0.1666667
20.16666,0.0
20.353,-0.1666667
20.53896,-0.3333333
20.72413,-0.5
20.90809,-0.3333333
21.09123,-0.5
21.27307,-0.3333333
21.45404,-0.1666667
21.63456,0.0
21.81507,0.1666667
21.99604,0.0
22.177,0.0
22.35797,0.0
22.53893,-0.1666667
22.71945,0.0
22.89997,0.0
23.08049,0.1666667
23.26145,0.0
23.44242,-0.1666667
23.62293,0.0
23.80345,0.0
23.98397,0.1666667
24.16493,0.3333333
24.34678,0.1666667
24.52906,0.0
24.71134,0.1666667
24.89405,0.0
25.07676,-0.1666667
25.25904,0.0
25.44132,-0.1666667
25.62317,-0.3333333
25.80414,-0.5
25.98374,-0.3333333
26.16242,-0.1666667
26.34062,0.0
26.51882,-0.1666667
26.69654,-0.3333333
26.8733,-0.1666667
27.04956,0.0
27.22582,0.1666667
27.40257,0.0
27.57933,-0.1666667
27.75559,0.0
27.93185,0.1666667
28.10861,0.3333333
28.28633,0.1666667
28.46453,0.3333333
28.82328,0.0
29.00288,-0.1666667
29.18203,-0.3333333
29.36023,-0.1666667
29.7147,-0.5
29.88997,-0.6666667
30.06317,-0.5
30.23479,-0.6666667
30.40421,-0.5
30.57195,-0.3333333
30.73853,-0.1666667
30.90453,0.0
31.07053,0.1666667
31.23712,0.3333333
31.57315,0.0
31.74146,-0.1666667
31.90919,0.0
32.07693,0.1666667
32.24523,0.0
32.41354,-0.1666667
32.58127,0.0
32.74901,0.0
32.64994,-0.1666667
0.2,0.0
0.7999725,-0.5
1.399476,0.0
1.599254,-0.1666667
1.79898,-0.3333333
2.198122,0.0
2.397659,0.0
2.597196,-0.1666667
2.796659,0.0
2.996122,0.1666667
3.195658,0.0
3.395195,0.1666667
3.5948,0.0
3.794406,-0.1666667
3.993942,0.0
4.392942,-0.3333333
4.592241,-0.1666667
4.791449,-0.3333333
4.99046,-0.1666667
5.189365,0.0
5.388269,0.1666667
5.587281,0.0
5.786292,-0.1666667
5.985197,-0.3333333
6.183871,-0.1666667
6.382423,0.0
6.580975,-0.1666667
6.779397,0.0
6.97782,-0.1666667
7.176109,0.0
7.374398,0.0
7.572687,-0.1666667
7.770837,-0.3333333
7.968691,-0.1666667
8.166389,0.0
8.364088,-0.1666667
8.561625,-0.3333333
8.758824,-0.1666667
8.955846,0.0
9.152867,0.1666667
9.350066,0.3333333
9.547604,0.1666667
9.745302,0.0
9.943001,-0.1666667
10.14054,0.0
10.33808,0.0
10.53561,0.1666667
10.73331,0.3333333
10.93132,0.5
11.12974,0.6666667
11.32864,0.5
11.52785,0.3333333
11.9267,0.0
12.12616,-0.1666667
12.32555,-0.3333333
